LocationID,lon,lat,biomass,measure_day,measure_month,measure_year,planted_year,soil_type,soi_type_CWRF,bedrock,Source,Note,biocro_soiltype,measure_day_n,measure_month_n,measure_doy,age,correction_factor
1,-88.85,41.85,13.929,NA,2,2004,2002,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",4,1.519999981,Arundale_Dohleman_Heaton_2014.pdf,All bedrock information is from CWRF,4,15,2,20040215,2,1
1,-88.85,41.85,19.249,NA,2,2005,2002,,4,1.519999981,,,4,15,2,20050215,3,1
1,-88.85,41.85,29.286,NA,2,2006,2002,,4,1.519999981,,,4,15,2,20060215,4,1
1,-88.85,41.85,20.034,NA,2,2007,2002,,4,1.519999981,,,4,15,2,20070215,5,1
1,-88.85,41.85,5.643,NA,2,2008,2002,,4,1.519999981,,,4,15,2,20080215,6,1
1,-88.85,41.85,8.821,NA,2,2009,2002,,4,1.519999981,,,4,15,2,20090215,7,1
1,-88.85,41.85,14.571,NA,2,2010,2002,,4,1.519999981,,,4,15,2,20100215,8,1
1,-88.85,41.85,13.677,NA,2,2011,2002,,4,1.519999981,,,4,15,2,20110215,9,1
2,-88.23,40.08,25.126,NA,2,2004,2002,"Fine-silty, mixed, mesic Typic Endoaquoll",4,1.519999981,,,4,15,2,20040215,2,1
2,-88.23,40.08,30.975,NA,2,2005,2002,,4,1.519999981,,,4,15,2,20050215,3,1
2,-88.23,40.08,44.404,NA,2,2006,2002,,4,1.519999981,,,4,15,2,20060215,4,1
2,-88.23,40.08,38.339,NA,2,2007,2002,,4,1.519999981,,,4,15,2,20070215,5,1
2,-88.23,40.08,36.173,NA,2,2008,2002,,4,1.519999981,,,4,15,2,20080215,6,1
2,-88.23,40.08,23.177,NA,2,2009,2002,,4,1.519999981,,,4,15,2,20090215,7,1
2,-88.23,40.08,25.343,NA,2,2010,2002,,4,1.519999981,,,4,15,2,20100215,8,1
2,-88.23,40.08,27.076,NA,2,2011,2002,,4,1.519999981,,,4,15,2,20110215,9,1
3,-88.67,37.45,37.256,NA,2,2004,2002,"Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs",4,1.32764411,,,4,15,2,20040215,2,1
3,-88.67,37.45,27.509,NA,2,2005,2002,,4,1.32764411,,,4,15,2,20050215,3,1
3,-88.67,37.45,39.422,NA,2,2006,2002,,4,1.32764411,,,4,15,2,20060215,4,1
